"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","3TXWC2NHN0OO62SEZCMPDWS9XKW9S2","A1V1JNPU0KOA3X","Approved","Thu Nov 14 12:09:45 PST 2019","Thu Nov 14 12:12:25 PST 2019","Sun Nov 17 12:12:25 PST 2019","Thu Nov 14 18:13:05 PST 2019","","","160","100% (2/2)","100% (1/1)","0% (0/0)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","3SB4CE2TJWTA72OILS6C8ZKLIG1XAW","A1BQCRF5Q76YFY","Approved","Thu Nov 14 11:14:55 PST 2019","Thu Nov 14 11:19:02 PST 2019","Sun Nov 17 11:19:02 PST 2019","Thu Nov 14 18:13:05 PST 2019","","","247","50% (1/2)","100% (1/1)","0% (0/0)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","3YZ8UPK3VUK6JDRL01RGUNB5O15CUL","A2SWQM5X54P1O5","Approved","Thu Nov 14 11:08:24 PST 2019","Thu Nov 14 11:12:34 PST 2019","Sun Nov 17 11:12:34 PST 2019","Thu Nov 14 18:13:07 PST 2019","","","250","100% (9/9)","100% (2/2)","100% (1/1)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","35LDD5557B25P3Y0JCHSRW7JGOBKME","A8028AFBBS29G","Approved","Thu Nov 14 11:08:24 PST 2019","Thu Nov 14 11:13:02 PST 2019","Sun Nov 17 11:13:02 PST 2019","Thu Nov 14 18:13:01 PST 2019","","","278","100% (1/1)","100% (1/1)","0% (0/0)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","3RU7GD8VPPR9YP8LG1IMZMSO2NZPSW","A1APYLD4DUK33J","Approved","Thu Nov 14 11:08:27 PST 2019","Thu Nov 14 11:13:37 PST 2019","Sun Nov 17 11:13:37 PST 2019","Thu Nov 14 18:13:05 PST 2019","","","310","100% (1/1)","100% (1/1)","0% (0/0)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","3L2IS5HSFBGPAHOCPR0UAY5HN5JUNL","A2LT6KC1X51FVW","Approved","Thu Nov 14 11:08:23 PST 2019","Thu Nov 14 11:14:44 PST 2019","Sun Nov 17 11:14:44 PST 2019","Thu Nov 14 18:13:04 PST 2019","","","381","100% (2/2)","100% (1/1)","0% (0/0)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","3E1QT0TDFQ7ZYJ68P8MX9YRB4G2I8K","A3RWDYQD1331VH","Approved","Thu Nov 14 11:29:55 PST 2019","Thu Nov 14 11:36:39 PST 2019","Sun Nov 17 11:36:39 PST 2019","Thu Nov 14 18:13:03 PST 2019","","","404","100% (1/1)","100% (1/1)","0% (0/0)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","33SA9F9TRYSY8F04RSCC2ZW5UTTEWF","A1FVXS8IM5QYO8","Approved","Thu Nov 14 11:08:10 PST 2019","Thu Nov 14 11:16:06 PST 2019","Sun Nov 17 11:16:06 PST 2019","Thu Nov 14 18:13:01 PST 2019","","","476","100% (2/2)","100% (2/2)","100% (1/1)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","3E1QT0TDFQ7ZYJ68P8MX9YRB4FXI8D","A2BW6WD7LZ9EGV","Approved","Thu Nov 14 11:08:16 PST 2019","Thu Nov 14 11:17:10 PST 2019","Sun Nov 17 11:17:10 PST 2019","Thu Nov 14 18:13:03 PST 2019","","","534","100% (1/1)","100% (1/1)","0% (0/0)","COMPL3T3"
"3IYI9285WSYUJDIXXZI0Z165KVTJCR","3BKZR1PB4HBK47NXZMBQYW7UQWWK6V","Answer questions about mobile app privacy","Answer a few questions about mobile app privacy","mobile, app, privacy","$2.00","Thu Nov 14 11:06:35 PST 2019","51","BatchId:3835786;OriginalHitTemplateId:920937340;","3600","259200","Thu Nov 21 11:06:35 PST 2019","","","37TD41K0AI7Q40ZHBWWGFMTH34KSCL","A24LUXW1DB1QI5","Approved","Thu Nov 14 12:09:00 PST 2019","Thu Nov 14 12:18:53 PST 2019","Sun Nov 17 12:18:53 PST 2019","Thu Nov 14 18:13:02 PST 2019","","","593","100% (2/2)","100% (1/1)","0% (0/0)","COMPL3T3"
