"Timestamp","1. Mobile apps should allow users to exercise control and autonomy over decisions about how their information is collected, used, and shared.","2. Consumer control of personal information is important to mobile app privacy. ","3. I don’t believe that mobile app privacy is compromised when the user loses control over their information as a result of an app usage.","1. Mobile app developers seeking information should disclose the way the data are collected, processed, and used.","2. A good mobile app privacy policy should have a clear and conspicuous disclosure.","3. It is not very important to me that I am aware and knowledgeable about how my personal information will be used.","1. It usually bothers me when smartphone apps ask me for personal information.","2. When mobile apps ask me for personal information, I sometimes think twice before providing it.","3. It bothers me to give personal information to so many mobile apps.","4. I’m not concerned that smartphone apps are collecting too much personal information about me.","1. Mobile apps should not use personal information for any purpose unless it has been authorized by the individuals who provided information.","2. When people give personal information to a mobile app  for some reason, the app developer should never use the information for any other reason.","3. Mobile app developers should be allowed to sell the personal information in their computer databases to other companies.","4. Mobile app developers should never share personal information with other companies unless it has been authorized by the individual who provided the information.","Your MTurk worker ID."
"2019/11/14 2:10:54 PM EST","Somewhat disagree","Somewhat disagree","Disagree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","A2SWQM5X54P1O5"
"2019/11/14 2:12:49 PM EST","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Agree","Disagree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","A8028AFBBS29G"
"2019/11/14 2:13:24 PM EST","Strongly agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Somewhat agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1APYLD4DUK33J"
"2019/11/14 2:14:37 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2LT6KC1X51FVW"
"2019/11/14 2:15:44 PM EST","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1FVXS8IM5QYO8"
"2019/11/14 2:17:03 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2BW6WD7LZ9EGV"
"2019/11/14 2:18:53 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1BQCRF5Q76YFY"
"2019/11/14 2:21:15 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Somewhat agree","Agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Agree","AKZ8SFOAI4RZN"
"2019/11/14 2:21:33 PM EST","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Agree","A18G2CLYSTENK"
"2019/11/14 2:21:35 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3F0NFNLOLFJT0"
"2019/11/14 2:25:44 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3LA5P3N3KI8U7"
"2019/11/14 2:27:52 PM EST","Somewhat agree","Agree","Strongly disagree","Somewhat disagree","Agree","Disagree","Agree","Disagree","Agree","Somewhat disagree","Somewhat agree","Agree","Neither agree nor disagree","Somewhat disagree","A1DVKS3R9SLQ1H"
"2019/11/14 2:28:31 PM EST","Agree","Agree","Disagree","Agree","Agree","Disagree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Agree","A2MUCL20GTQJA0"
"2019/11/14 2:30:42 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","AV22FQTJNBUZT"
"2019/11/14 2:30:53 PM EST","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Agree","Somewhat disagree","Somewhat agree","Agree","Somewhat agree","Strongly disagree","Agree","A2IQ0QCTQ3KWLT"
"2019/11/14 2:33:03 PM EST","Somewhat agree","Disagree","Somewhat agree","Agree","Disagree","Somewhat agree","Strongly disagree","Disagree","Somewhat agree","Disagree","Somewhat agree","Somewhat disagree","Disagree","Agree","A1K8QNLYYYX21W"
"2019/11/14 2:36:28 PM EST","Agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Somewhat agree","Agree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","A3RWDYQD1331VH"
"2019/11/14 2:40:48 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A110KENBXU7SUJ"
"2019/11/14 2:41:21 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Agree","Disagree","Strongly agree","A3FGT6EU39C6S4"
"2019/11/14 2:41:28 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","A2EI075XZT9Y2S"
"2019/11/14 2:42:32 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A4E1UYPDHE8D8"
"2019/11/14 2:45:39 PM EST","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Agree","Somewhat agree","Somewhat agree","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","A2P065E9CYMYJL"
"2019/11/14 2:45:56 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A12HZGOZQD5YK7"
"2019/11/14 2:46:10 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","AKSJ3C5O3V9RB"
"2019/11/14 2:46:47 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3BHRFFG75X3GO"
"2019/11/14 2:48:06 PM EST","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3FOKP72T5I4FR"
"2019/11/14 2:48:26 PM EST","Agree","Agree","Disagree","Agree","Strongly agree","Disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Agree","Disagree","Agree","A3UV55HC87DO9C"
"2019/11/14 2:48:40 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A147F5PJTHOB8A"
"2019/11/14 2:49:48 PM EST","Strongly agree","Somewhat agree","Disagree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","A3FJCLBK3HF4PD"
"2019/11/14 2:50:22 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Strongly disagree","Strongly agree","A36SM7QM8OK3H6"
"2019/11/14 2:51:04 PM EST","Somewhat agree","Agree","Disagree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1V2H0UF94ATWY"
"2019/11/14 2:51:42 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A320QA9HJFUOZO"
"2019/11/14 2:56:01 PM EST","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Agree","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","A4JU6ZFL8C1VG"
"2019/11/14 2:58:57 PM EST","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","A3GK90X2QOFR53"
"2019/11/14 2:59:09 PM EST","Agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Agree","Neither agree nor disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","AQORJW4W8U9YU"
"2019/11/14 2:59:19 PM EST","Strongly agree","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Somewhat agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","A2SO6K35NMGBB7"
"2019/11/14 2:59:45 PM EST","Somewhat agree","Neither agree nor disagree","Disagree","Somewhat agree","Disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Disagree","Neither agree nor disagree","A17D6BK59S31BM"
"2019/11/14 2:59:50 PM EST","Strongly agree","Agree","Agree","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","A1O0B8163G7W0N"
"2019/11/14 3:00:25 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3CQDCNYJAX2X3"
"2019/11/14 3:00:57 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A4J4GGMKJ68L0"
"2019/11/14 3:02:24 PM EST","Agree","Agree","Disagree","Strongly agree","Strongly agree","Somewhat disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly disagree","Strongly agree","A3RYI5HXC2MJLN"
"2019/11/14 3:05:53 PM EST","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","A24LC97AU3QC7G"
"2019/11/14 3:12:07 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1V1JNPU0KOA3X"
"2019/11/14 3:18:46 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A24LUXW1DB1QI5"
"2019/11/14 3:22:40 PM EST","Agree","Agree","Somewhat disagree","Agree","Agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Agree","Disagree","Agree","A2YAYHZYI7M3HD"
