"Timestamp","1. Mobile app privacy is about a user's right to exercise control over decisions about how their information is collected, used, and shared.","2. Consumer control of personal information is essential to mobile app privacy. ","3. I don't believe that mobile app privacy is compromised when the user loses control over their information as a result of an app usage.","1. Mobile app developers seeking information should disclose the way the data are collected, processed, and used.","2. A good mobile app privacy policy should have a clear and conspicuous disclosure. ","3. It is not very important to me that I am aware and knowledgeable about how my personal information will be used.","1. It usually bothers me when smartphone apps ask me for personal information. ","2. When mobile apps ask me for personal information, I sometimes think twice before providing it.","3. It bothers me to give personal information to so many mobile apps.","4. I'm not concerned that smartphone apps are collecting too much personal information about me.","1. Mobile apps should not use personal information for any purpose unless it has been authorized by the individuals who provided information.","2. When people give personal information to a mobile app for some reason, the app developer should never use the information for any other reason.","3. Mobile app developers should be allowed to sell the personal information in their computer databases to other companies.","4. Mobile app developers should never share personal information with other companies unless it has been authorized by the individual who provided the information.","Your MTurk worker ID."
"2019/11/24 10:51:02 PM EST","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2O2Q0LVWOWJ1G"
"2019/11/24 10:51:20 PM EST","Agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1NF6PELRKACS9"
"2019/11/24 10:53:21 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","A21HDHQPENLF2X"
"2019/11/24 10:53:50 PM EST","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Agree","Neither agree nor disagree","A2RHLZO74ZXQV3"
"2019/11/24 10:57:02 PM EST","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","A1XO6ONCCTBMKW"
"2019/11/24 10:57:08 PM EST","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2YE7NBCK14VAQ"
"2019/11/24 10:57:27 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1SWV4X4PD25S1"
"2019/11/24 10:58:03 PM EST","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Neither agree nor disagree","Strongly agree","A3EZ0H07TSDAPW"
"2019/11/24 11:00:36 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1MIR0TP081SKT"
"2019/11/24 11:03:53 PM EST","Strongly agree","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","A9EVF0SO2IUJ0"
"2019/11/24 11:05:26 PM EST","Agree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Agree","Strongly agree","Agree","Neither agree nor disagree","A2IUT0610X9CV0"
"2019/11/24 11:05:59 PM EST","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","ALQ7GPHT431Q2"
"2019/11/24 11:06:03 PM EST","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","A166A2M31CW2C7"
"2019/11/24 11:08:06 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","A4J4GGMKJ68L0"
