Timestamp,"1. Mobile app privacy is about a user’s right to exercise control over decisions about how their information is collected, used, and shared.",2. User control of personal information is essential to mobile app privacy. ,3. I believe that mobile app privacy is compromised when the user loses control over their information as a result of app usage.,4. I’m not concerned that smartphone apps are collecting too much personal information about me.,"1. Mobile app developers seeking information should disclose the way the data are collected, processed, and used.",2. A good mobile app privacy policy should have a clear and conspicuous disclosure.,3. It is very important to me that I am aware and knowledgeable about how my personal information will be used.,1. It usually bothers me when smartphone apps ask me for personal information.,"2. When mobile apps ask me for personal information, I sometimes think twice before providing it.",3. It bothers me to give personal information to so many mobile apps.,4. I’m concerned that smartphone apps are collecting too much personal information about me.,1. Mobile apps should not use personal information for any purpose unless it has been authorized by the individuals who provided information.,"2. When people give personal information to a mobile app for some reason, the app developer should never use the information for any other reason.",3. Mobile app developers should never sell the personal information in their computer databases to other companies.,4. Mobile app developers should never share personal information with other companies unless it has been authorized by the individual who provided the information.,Your MTurk worker ID.
11/26/2019 13:11:20,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A8028AFBBS29G
11/26/2019 13:12:00,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A27HVVLSZZ13XK
11/26/2019 13:14:04,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,A2RRDATXKQ8HHC
11/26/2019 13:14:32,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,A1CSDIX05PK9V
11/26/2019 13:14:52,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,ATHRPZYJU0121
11/26/2019 13:15:29,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,A2YBZFSUD5OP7W
11/26/2019 13:15:30,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A3S3NLZV7A06QN
11/26/2019 13:15:33,Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,AKRFNRKI1IMJ1
11/26/2019 13:15:42,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A3LA5P3N3KI8U7
11/26/2019 13:15:55,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A1MTRZDRKNB9GV
11/26/2019 13:16:40,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A2OAZPREKF6PQR
11/26/2019 13:17:25,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A18JA2145UWXG
